miRNA in ctl_s1:,miRNA in s1_s2:,miRNA in s2_s3:,miRNA in s3_s4:
hsa-miR-4525,hsa-miR-4462,hsa-miR-3130-3p,hsa-miR-1205
hsa-miR-8073,hsa-miR-6769b-5p,hsa-miR-4722-3p,hsa-miR-29b-1-5p
hsa-miR-6802-5p,hsa-miR-6857-3p,hsa-miR-6829-3p,hsa-miR-1250-5p
hsa-miR-1307-3p,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-4516
hsa-miR-6800-5p,hsa-miR-7846-3p,hsa-miR-4282,hsa-miR-6715b-5p
hsa-miR-6131,hsa-miR-6869-3p,hsa-miR-6722-3p,hsa-miR-520d-3p
hsa-miR-320a,hsa-miR-937-5p,hsa-miR-4524b-5p,hsa-miR-6769b-5p
hsa-miR-6766-5p,hsa-miR-6895-3p,hsa-miR-7854-3p,hsa-miR-3975
hsa-miR-663a,hsa-miR-3178,hsa-miR-5587-5p,hsa-miR-548h-5p
hsa-miR-1228-5p,hsa-miR-4439,hsa-miR-412-3p,hsa-miR-4474-3p
hsa-miR-642b-3p,hsa-miR-4472,hsa-miR-218-2-3p,hsa-miR-4511
hsa-miR-4728-5p,hsa-miR-139-3p,hsa-miR-449c-3p,hsa-miR-6756-5p
hsa-miR-4532,hsa-miR-4647,hsa-miR-371b-5p,hsa-miR-1225-3p
hsa-miR-6756-5p,hsa-miR-4749-5p,hsa-miR-548h-5p,hsa-miR-922
hsa-miR-887-3p,hsa-miR-3155b,hsa-miR-5591-5p,hsa-miR-6735-5p
hsa-miR-4787-5p,hsa-miR-4462,hsa-miR-5585-3p,hsa-miR-6815-5p
hsa-miR-6090,hsa-miR-6769b-5p,hsa-miR-6847-3p,hsa-miR-378c
hsa-miR-575,hsa-miR-6857-3p,hsa-miR-4741,hsa-miR-4727-5p
hsa-miR-6746-5p,hsa-miR-548h-5p,hsa-miR-1227-5p,hsa-miR-6734-3p
hsa-miR-4690-5p,hsa-miR-7846-3p,hsa-miR-660-5p,hsa-miR-512-5p
hsa-miR-4730,hsa-miR-6869-3p,hsa-miR-7151-5p,hsa-miR-105-3p
hsa-miR-6784-5p,hsa-miR-937-5p,hsa-miR-1253,hsa-miR-4803
hsa-miR-92b-5p,hsa-miR-6895-3p,hsa-miR-134-3p,hsa-miR-5582-5p
hsa-miR-4687-5p,hsa-miR-3178,hsa-miR-6802-3p,hsa-miR-134-3p
hsa-miR-1238-5p,hsa-miR-4439,hsa-miR-6774-3p,hsa-miR-139-3p
hsa-miR-8059,hsa-miR-4472,hsa-miR-7703,hsa-miR-548ah-5p
hsa-miR-1469,hsa-miR-139-3p,hsa-miR-1229-3p,hsa-miR-1205
hsa-miR-4675,hsa-miR-4647,hsa-miR-4749-5p,hsa-miR-29b-1-5p
hsa-miR-4758-5p,hsa-miR-4749-5p,hsa-miR-3130-3p,hsa-miR-1250-5p
hsa-miR-6805-5p,,hsa-miR-4722-3p,hsa-miR-4516
hsa-miR-3184-5p,,hsa-miR-6829-3p,hsa-miR-6715b-5p
hsa-miR-1203,,hsa-miR-6769b-5p,hsa-miR-520d-3p
hsa-miR-4706,,hsa-miR-4282,hsa-miR-6769b-5p
hsa-miR-197-5p,,hsa-miR-6722-3p,hsa-miR-3975
hsa-miR-3940-5p,,hsa-miR-4524b-5p,hsa-miR-548h-5p
hsa-miR-1233-5p,,hsa-miR-7854-3p,hsa-miR-4474-3p
hsa-miR-4648,,hsa-miR-5587-5p,hsa-miR-4511
hsa-miR-4276,,hsa-miR-412-3p,hsa-miR-6756-5p
hsa-miR-4783-3p,,hsa-miR-218-2-3p,hsa-miR-1225-3p
hsa-miR-1343-3p,,hsa-miR-449c-3p,hsa-miR-922
hsa-miR-6787-5p,,hsa-miR-371b-5p,hsa-miR-6735-5p
hsa-miR-4732-5p,,hsa-miR-548h-5p,hsa-miR-6815-5p
hsa-miR-4525,,hsa-miR-5591-5p,hsa-miR-378c
hsa-miR-8073,,hsa-miR-5585-3p,hsa-miR-4727-5p
hsa-miR-6802-5p,,hsa-miR-6847-3p,hsa-miR-6734-3p
hsa-miR-1307-3p,,hsa-miR-4741,hsa-miR-512-5p
hsa-miR-6800-5p,,hsa-miR-1227-5p,hsa-miR-105-3p
hsa-miR-6131,,hsa-miR-660-5p,hsa-miR-4803
hsa-miR-320a,,hsa-miR-7151-5p,hsa-miR-5582-5p
hsa-miR-6766-5p,,hsa-miR-1253,hsa-miR-134-3p
hsa-miR-663a,,hsa-miR-134-3p,hsa-miR-139-3p
hsa-miR-1228-5p,,hsa-miR-6802-3p,hsa-miR-548ah-5p
hsa-miR-642b-3p,,hsa-miR-6774-3p,
hsa-miR-4728-5p,,hsa-miR-7703,
hsa-miR-4532,,hsa-miR-1229-3p,
hsa-miR-6756-5p,,hsa-miR-4749-5p,
hsa-miR-887-3p,,,
hsa-miR-4787-5p,,,
hsa-miR-6090,,,
hsa-miR-575,,,
hsa-miR-6746-5p,,,
hsa-miR-4690-5p,,,
hsa-miR-4730,,,
hsa-miR-6784-5p,,,
hsa-miR-92b-5p,,,
hsa-miR-4687-5p,,,
hsa-miR-1238-5p,,,
hsa-miR-8059,,,
hsa-miR-1469,,,
hsa-miR-4675,,,
hsa-miR-4758-5p,,,
hsa-miR-6805-5p,,,
hsa-miR-3184-5p,,,
hsa-miR-1203,,,
hsa-miR-4706,,,
hsa-miR-197-5p,,,
hsa-miR-3940-5p,,,
hsa-miR-1233-5p,,,
hsa-miR-4648,,,
hsa-miR-4276,,,
hsa-miR-4783-3p,,,
hsa-miR-1343-3p,,,
hsa-miR-6787-5p,,,